iter	Passed	Remaining
721	890	342
722	891	341
723	892	340
724	893	339
725	895	337
726	896	336
727	897	335
728	898	333
729	899	332
730	900	331
731	901	330
732	903	328
733	904	327
734	905	326
735	906	325
736	907	323
737	908	322
738	910	321
739	912	320
740	913	319
741	914	317
742	915	316
743	916	315
744	917	314
745	918	312
746	919	311
747	920	310
748	922	309
749	923	307
750	924	306
751	925	305
752	926	304
753	928	302
754	929	301
755	930	300
756	931	299
757	932	297
758	933	296
759	935	295
760	936	294
761	937	292
762	938	291
763	939	290
764	940	288
765	941	287
766	942	286
767	944	285
768	945	283
769	946	282
770	947	281
771	948	280
772	949	278
773	950	277
774	952	276
775	953	275
776	954	273
777	955	272
778	956	271
779	957	270
780	958	268
781	959	267
782	960	266
783	961	264
784	962	263
785	963	262
786	964	261
787	965	259
788	967	258
789	968	257
790	969	256
791	970	254
792	971	253
793	972	252
794	973	251
795	974	249
796	975	248
797	977	247
798	978	246
799	979	244
800	980	243
801	981	242
802	982	241
803	983	239
804	985	238
805	986	237
806	987	236
807	988	234
808	989	233
809	990	232
810	991	231
811	992	229
812	994	228
813	995	227
814	996	226
815	997	224
816	998	223
817	999	222
818	1000	221
819	1001	219
820	1002	218
821	1003	217
822	1004	216
823	1006	214
824	1007	213
825	1008	212
826	1009	211
827	1010	209
828	1011	208
829	1012	207
830	1014	206
831	1016	205
832	1017	204
833	1018	202
834	1019	201
835	1020	200
836	1021	198
837	1022	197
838	1023	196
839	1025	195
840	1026	193
841	1027	192
842	1028	191
843	1029	190
844	1030	189
845	1032	187
846	1033	186
847	1034	185
848	1035	184
849	1036	182
850	1037	181
851	1038	180
852	1039	179
853	1040	177
854	1041	176
855	1042	175
856	1043	174
857	1045	172
858	1046	171
859	1047	170
860	1048	169
861	1049	168
862	1050	166
863	1051	165
864	1053	164
865	1054	163
866	1055	161
867	1056	160
868	1057	159
869	1058	158
870	1059	156
871	1060	155
872	1061	154
873	1062	153
874	1064	152
875	1065	150
876	1066	149
877	1067	148
878	1068	147
879	1069	145
880	1071	144
881	1072	143
882	1073	142
883	1074	141
884	1075	139
885	1076	138
886	1078	137
887	1079	136
888	1080	134
889	1081	133
890	1082	132
891	1084	131
892	1085	130
893	1086	128
894	1087	127
895	1088	126
896	1089	125
897	1090	123
898	1091	122
899	1093	121
900	1094	120
901	1095	119
902	1096	117
903	1097	116
904	1098	115
905	1099	114
906	1101	112
907	1102	111
908	1103	110
909	1104	109
910	1106	108
911	1107	106
912	1108	105
913	1109	104
914	1110	103
915	1111	101
916	1112	100
917	1114	99
918	1115	98
919	1116	97
920	1117	95
921	1118	94
922	1119	93
923	1120	92
924	1121	90
925	1123	89
926	1124	88
927	1125	87
928	1126	86
929	1127	84
930	1128	83
931	1129	82
932	1130	81
933	1132	79
934	1133	78
935	1134	77
936	1135	76
937	1136	75
938	1137	73
939	1138	72
940	1140	71
941	1141	70
942	1142	69
943	1143	67
944	1144	66
945	1145	65
946	1146	64
947	1148	62
948	1149	61
949	1150	60
950	1151	59
951	1152	58
952	1153	56
953	1154	55
954	1155	54
955	1156	53
956	1157	52
957	1158	50
958	1159	49
959	1160	48
960	1162	47
961	1163	45
962	1164	44
963	1165	43
964	1166	42
965	1167	41
966	1168	39
967	1169	38
968	1170	37
969	1171	36
970	1173	35
971	1174	33
972	1175	32
973	1176	31
974	1177	30
975	1178	28
976	1179	27
977	1181	26
978	1182	25
979	1183	24
980	1184	22
981	1185	21
982	1186	20
983	1187	19
984	1188	18
985	1189	16
986	1190	15
987	1191	14
988	1192	13
989	1193	12
990	1194	10
991	1195	9
992	1196	8
993	1197	7
994	1198	6
995	1200	4
996	1201	3
997	1202	2
998	1203	1
999	1204	0
